image_relpath,split,weather,acquisition_date,capture_time,source_labeled_space_count,source_occupied_count,source_vacant_count,source_unlabeled_space_count,official_space_count,official_occupied_count,official_available_count
Sunny/2013-01-18/2013-01-18_07_55_03.jpg,smoke,Sunny,2013-01-18,07:55:03,28,1,27,0,35,1,34
Sunny/2013-01-18/2013-01-18_08_25_03.jpg,smoke,Sunny,2013-01-18,08:25:03,28,0,28,0,35,0,35
Sunny/2013-01-18/2013-01-18_09_40_05.jpg,smoke,Sunny,2013-01-18,09:40:05,28,5,23,0,35,8,27
Sunny/2013-01-18/2013-01-18_10_25_06.jpg,smoke,Sunny,2013-01-18,10:25:06,28,6,22,0,35,13,22
Sunny/2013-01-18/2013-01-18_11_40_07.jpg,smoke,Sunny,2013-01-18,11:40:07,28,6,22,0,35,13,22
Sunny/2013-01-18/2013-01-18_12_25_08.jpg,smoke,Sunny,2013-01-18,12:25:08,28,4,24,0,35,11,24
Sunny/2013-01-18/2013-01-18_13_10_09.jpg,smoke,Sunny,2013-01-18,13:10:09,28,5,23,0,35,11,24
Sunny/2013-01-18/2013-01-18_14_10_10.jpg,smoke,Sunny,2013-01-18,14:10:10,28,5,23,0,35,11,24
Sunny/2013-01-18/2013-01-18_14_40_10.jpg,smoke,Sunny,2013-01-18,14:40:10,28,5,23,0,35,10,25
Sunny/2013-01-18/2013-01-18_16_25_12.jpg,smoke,Sunny,2013-01-18,16:25:12,28,5,23,0,35,11,24
Cloudy/2013-01-22/2013-01-22_12_45_08.jpg,smoke,Cloudy,2013-01-22,12:45:08,28,22,6,0,35,28,7
Cloudy/2013-01-22/2013-01-22_13_15_08.jpg,smoke,Cloudy,2013-01-22,13:15:08,28,23,5,0,35,30,5
Cloudy/2013-01-22/2013-01-22_14_15_09.jpg,smoke,Cloudy,2013-01-22,14:15:09,28,28,0,0,35,35,0
Cloudy/2013-01-22/2013-01-22_15_00_10.jpg,smoke,Cloudy,2013-01-22,15:00:10,28,28,0,0,35,35,0
Cloudy/2013-01-22/2013-01-22_16_30_11.jpg,smoke,Cloudy,2013-01-22,16:30:11,28,26,2,0,35,33,2
Cloudy/2013-01-22/2013-01-22_17_30_12.jpg,smoke,Cloudy,2013-01-22,17:30:12,28,22,6,0,35,26,9
Cloudy/2013-01-22/2013-01-22_17_45_13.jpg,smoke,Cloudy,2013-01-22,17:45:13,28,24,4,0,35,27,8
Cloudy/2013-01-22/2013-01-22_18_45_14.jpg,smoke,Cloudy,2013-01-22,18:45:14,28,19,9,0,35,26,9
Cloudy/2013-01-22/2013-01-22_20_00_15.jpg,smoke,Cloudy,2013-01-22,20:00:15,28,28,0,0,35,35,0
Cloudy/2013-01-22/2013-01-22_21_15_16.jpg,smoke,Cloudy,2013-01-22,21:15:16,28,23,5,0,35,29,6
Rainy/2012-12-26/2012-12-26_15_35_11.jpg,smoke,Rainy,2012-12-26,15:35:11,28,0,28,0,37,0,37
Rainy/2012-12-26/2012-12-26_16_25_12.jpg,smoke,Rainy,2012-12-26,16:25:12,28,0,28,0,37,0,37
Rainy/2012-12-26/2012-12-26_16_40_13.jpg,smoke,Rainy,2012-12-26,16:40:13,28,0,28,0,37,0,37
Rainy/2012-12-26/2012-12-26_17_10_13.jpg,smoke,Rainy,2012-12-26,17:10:13,28,0,28,0,37,1,36
Rainy/2012-12-26/2012-12-26_17_40_14.jpg,smoke,Rainy,2012-12-26,17:40:14,28,0,28,0,37,0,37
Rainy/2012-12-26/2012-12-26_18_10_14.jpg,smoke,Rainy,2012-12-26,18:10:14,28,0,28,0,37,0,37
Rainy/2012-12-26/2012-12-26_18_25_15.jpg,smoke,Rainy,2012-12-26,18:25:15,28,1,27,0,37,1,36
Rainy/2012-12-26/2012-12-26_19_10_16.jpg,smoke,Rainy,2012-12-26,19:10:16,28,1,27,0,37,1,36
Rainy/2012-12-26/2012-12-26_19_25_16.jpg,smoke,Rainy,2012-12-26,19:25:16,28,1,27,0,37,1,36
Rainy/2012-12-26/2012-12-26_19_55_16.jpg,smoke,Rainy,2012-12-26,19:55:16,28,1,27,0,37,1,36
Sunny/2012-12-21/2012-12-21_09_45_05.jpg,calibration,Sunny,2012-12-21,09:45:05,28,28,0,0,37,37,0
Sunny/2012-12-21/2012-12-21_10_45_06.jpg,calibration,Sunny,2012-12-21,10:45:06,28,24,4,0,37,32,5
Sunny/2012-12-21/2012-12-21_11_00_06.jpg,calibration,Sunny,2012-12-21,11:00:06,28,25,3,0,37,34,3
Sunny/2012-12-21/2012-12-21_12_00_07.jpg,calibration,Sunny,2012-12-21,12:00:07,28,25,3,0,37,34,3
Sunny/2012-12-21/2012-12-21_13_00_08.jpg,calibration,Sunny,2012-12-21,13:00:08,28,18,10,0,37,25,12
Sunny/2012-12-21/2012-12-21_14_30_10.jpg,calibration,Sunny,2012-12-21,14:30:10,28,19,9,0,37,27,10
Sunny/2012-12-21/2012-12-21_14_45_10.jpg,calibration,Sunny,2012-12-21,14:45:10,28,20,8,0,37,28,9
Sunny/2012-12-21/2012-12-21_15_45_11.jpg,calibration,Sunny,2012-12-21,15:45:11,28,18,10,0,37,27,10
Sunny/2012-12-21/2012-12-21_16_30_12.jpg,calibration,Sunny,2012-12-21,16:30:12,28,16,12,0,37,23,14
Sunny/2012-12-21/2012-12-21_18_00_14.jpg,calibration,Sunny,2012-12-21,18:00:14,28,15,13,0,37,20,17
Cloudy/2012-12-28/2012-12-28_10_35_06.jpg,calibration,Cloudy,2012-12-28,10:35:06,28,0,28,0,35,2,33
