image_relpath,annotation_relpath,weather,acquisition_date,capture_time,width,height,parking_space_count,labeled_space_count,unlabeled_space_count,occupied_count,vacant_count,occupancy_ratio,image_sha256,annotation_sha256,validation_status
Cloudy/2012-12-12/2012-12-12_10_00_05.jpg,Cloudy/2012-12-12/2012-12-12_10_00_05.xml,Cloudy,2012-12-12,10:00:05,1280,720,28,28,0,28,0,1.000000,f18cb544608d59c97b4f5d36d1ad831fe3d6c98c45748b0867ce9b8ec17d49f2,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_05_05.jpg,Cloudy/2012-12-12/2012-12-12_10_05_05.xml,Cloudy,2012-12-12,10:05:05,1280,720,28,28,0,28,0,1.000000,d80140283b7fbf06322a4b8febb3018d022eaa74de7e0f4e5f6d36519052063e,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_10_05.jpg,Cloudy/2012-12-12/2012-12-12_10_10_05.xml,Cloudy,2012-12-12,10:10:05,1280,720,28,28,0,28,0,1.000000,022699b2283867ac23b312608d320653e9c8f60d75f5c057a9a764ffb4e31e99,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_15_05.jpg,Cloudy/2012-12-12/2012-12-12_10_15_05.xml,Cloudy,2012-12-12,10:15:05,1280,720,28,28,0,28,0,1.000000,eed3413da70ef81dfe82722c92988d9b243b499e44265017b316e749703bdf87,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_20_05.jpg,Cloudy/2012-12-12/2012-12-12_10_20_05.xml,Cloudy,2012-12-12,10:20:05,1280,720,28,28,0,28,0,1.000000,7fe34b50fe0e6eccac04e598613aeaaf36505d22f294d0819312f18fb39d483c,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_25_05.jpg,Cloudy/2012-12-12/2012-12-12_10_25_05.xml,Cloudy,2012-12-12,10:25:05,1280,720,28,28,0,28,0,1.000000,ff0d952a3826a1e3f31c93a1f57cdfcf0e7de2fd82c2c4550440c99ed0039869,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_30_05.jpg,Cloudy/2012-12-12/2012-12-12_10_30_05.xml,Cloudy,2012-12-12,10:30:05,1280,720,28,28,0,28,0,1.000000,85d6f4d410d8e688f2b218688c199f5dbf015e7d300f5d22f3d70c6ae92e74fd,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_35_05.jpg,Cloudy/2012-12-12/2012-12-12_10_35_05.xml,Cloudy,2012-12-12,10:35:05,1280,720,28,28,0,28,0,1.000000,8ce33cba3c52e6afc2201079801ec03706dd075d58ad6f5b9c29b6523f9ae5cb,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_40_05.jpg,Cloudy/2012-12-12/2012-12-12_10_40_05.xml,Cloudy,2012-12-12,10:40:05,1280,720,28,28,0,28,0,1.000000,a386215d88661177d518edb2475099fae224023407d9cb9cafc8ad0f273f1229,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_45_06.jpg,Cloudy/2012-12-12/2012-12-12_10_45_06.xml,Cloudy,2012-12-12,10:45:06,1280,720,28,28,0,28,0,1.000000,02d94b7375c9888c57fd3f4abe33e30f4f19db53fb9aa8989b418cc49bf3067c,ec615dcd291789ccf1bce97711cbf95f9355bbbcfa724c1b52daa48694415167,valid
Cloudy/2012-12-12/2012-12-12_10_50_06.jpg,Cloudy/2012-12-12/2012-12-12_10_50_06.xml,Cloudy,2012-12-12,10:50:06,1280,720,28,28,0,27,1,0.964286,983cf00f1f773a5f351830d9e7f53189cbcb4dfa7cf6d4a09045aa77b0b05dda,86ed4d589ee7cbae08c55e832416cb8e57e0a7e9bfeafb4f5e3b6264396b0a8f,valid
Cloudy/2012-12-12/2012-12-12_10_55_06.jpg,Cloudy/2012-12-12/2012-12-12_10_55_06.xml,Cloudy,2012-12-12,10:55:06,1280,720,28,28,0,27,1,0.964286,cb15444880fa1eab0b3da37fbcbba83fe969f425bc80d3c90df5a2bb0f5a577d,86ed4d589ee7cbae08c55e832416cb8e57e0a7e9bfeafb4f5e3b6264396b0a8f,valid
